ImageId,Label
1,2
2,0
3,8
4,4
5,3
6,3
7,0
8,3
9,0
10,3
11,8
12,2
13,8
14,0
15,8
16,8
17,3
18,8
19,9
20,0
21,9
22,8
23,8
24,8
25,3
26,8
27,8
28,9
29,8
30,8
31,8
32,8
33,4
34,8
35,6
36,8
37,8
38,8
39,8
40,8
41,3
42,3
43,4
44,9
45,8
46,3
47,8
48,8
49,8
50,8
51,8
52,8
53,8
54,3
55,8
56,2
57,8
58,2
59,8
60,8
61,8
62,8
63,8
64,0
65,0
66,0
67,8
68,8
69,0
70,8
71,8
72,8
73,8
74,8
75,2
76,8
77,8
78,3
79,2
80,8
81,8
82,8
83,8
84,8
85,8
86,8
87,4
88,3
89,8
90,9
91,8
92,8
93,8
94,8
95,8
96,3
97,3
98,8
99,7
100,4
101,8
102,8
103,8
104,0
105,9
106,3
107,0
108,5
109,8
110,3
111,0
112,0
113,8
114,8
115,8
116,8
117,8
118,8
119,8
120,3
121,3
122,9
123,2
124,8
125,8
126,3
127,8
128,8
129,8
130,9
131,3
132,8
133,8
134,0
135,0
136,0
137,3
138,8
139,3
140,0
141,4
142,3
143,8
144,5
145,8
146,8
147,9
148,9
149,8
150,8
151,8
152,3
153,5
154,8
155,5
156,8
157,8
158,8
159,9
160,8
161,3
162,0
163,4
164,8
165,8
166,8
167,8
168,8
169,8
170,8
171,3
172,8
173,8
174,8
175,8
176,3
177,8
178,8
179,8
180,2
181,8
182,8
183,8
184,2
185,4
186,9
187,2
188,8
189,8
190,0
191,6
192,8
193,8
194,8
195,8
196,0
197,8
198,9
199,5
200,8
201,8
202,8
203,0
204,8
205,8
206,0
207,8
208,8
209,6
210,2
211,0
212,3
213,3
214,8
215,8
216,2
217,8
218,8
219,3
220,4
221,8
222,3
223,8
224,8
225,2
226,8
227,8
228,8
229,8
230,0
231,8
232,8
233,9
234,8
235,8
236,3
237,2
238,8
239,8
240,8
241,8
242,8
243,8
244,8
245,8
246,8
247,4
248,8
249,3
250,8
251,9
252,9
253,8
254,3
255,8
256,8
257,8
258,8
259,8
260,3
261,2
262,3
263,8
264,5
265,3
266,0
267,6
268,8
269,8
270,8
271,8
272,0
273,6
274,3
275,8
276,8
277,8
278,8
279,8
280,4
281,8
282,9
283,8
284,8
285,8
286,3
287,9
288,8
289,9
290,8
291,8
292,9
293,8
294,8
295,9
296,8
297,3
298,0
299,3
300,3
301,6
302,8
303,8
304,2
305,8
306,3
307,8
308,8
309,4
310,5
311,8
312,8
313,8
314,8
315,0
316,3
317,8
318,8
319,8
320,8
321,8
322,8
323,8
324,8
325,8
326,4
327,8
328,8
329,8
330,3
331,8
332,3
333,8
334,3
335,0
336,8
337,0
338,3
339,6
340,8
341,8
342,3
343,8
344,8
345,8
346,0
347,8
348,8
349,3
350,8
351,8
352,8
353,3
354,8
355,3
356,8
357,8
358,8
359,8
360,8
361,8
362,8
363,3
364,8
365,8
366,2
367,3
368,8
369,8
370,8
371,8
372,8
373,9
374,9
375,3
376,8
377,9
378,5
379,3
380,8
381,8
382,8
383,8
384,9
385,3
386,8
387,2
388,8
389,3
390,9
391,8
392,3
393,9
394,9
395,4
396,8
397,8
398,8
399,9
400,3
401,9
402,3
403,6
404,8
405,8
406,8
407,8
408,3
409,8
410,8
411,8
412,8
413,8
414,8
415,8
416,3
417,8
418,8
419,3
420,8
421,9
422,8
423,6
424,8
425,3
426,8
427,8
428,9
429,9
430,3
431,4
432,8
433,8
434,8
435,8
436,8
437,3
438,8
439,8
440,3
441,8
442,4
443,9
444,4
445,3
446,8
447,8
448,8
449,3
450,9
451,8
452,3
453,8
454,9
455,8
456,8
457,8
458,3
459,8
460,8
461,8
462,8
463,8
464,2
465,8
466,8
467,3
468,9
469,4
470,8
471,8
472,4
473,8
474,5
475,8
476,0
477,8
478,3
479,8
480,0
481,8
482,8
483,8
484,2
485,9
486,9
487,8
488,8
489,3
490,8
491,9
492,4
493,3
494,8
495,2
496,0
497,8
498,3
499,3
500,0
501,8
502,5
503,8
504,2
505,8
506,8
507,3
508,8
509,0
510,2
511,3
512,8
513,8
514,3
515,3
516,3
517,8
518,3
519,8
520,3
521,9
522,8
523,0
524,8
525,8
526,8
527,0
528,8
529,8
530,3
531,0
532,8
533,3
534,8
535,3
536,5
537,6
538,8
539,8
540,3
541,8
542,2
543,8
544,2
545,8
546,3
547,0
548,9
549,8
550,8
551,8
552,3
553,0
554,3
555,0
556,8
557,3
558,8
559,6
560,2
561,8
562,3
563,8
564,8
565,8
566,8
567,4
568,8
569,8
570,9
571,2
572,8
573,3
574,8
575,0
576,9
577,8
578,8
579,4
580,8
581,5
582,8
583,3
584,8
585,8
586,8
587,3
588,3
589,8
590,8
591,8
592,8
593,8
594,5
595,3
596,8
597,8
598,6
599,8
600,3
601,8
602,8
603,3
604,8
605,8
606,2
607,8
608,8
609,2
610,8
611,8
612,4
613,3
614,3
615,8
616,8
617,7
618,0
619,0
620,9
621,8
622,8
623,9
624,8
625,8
626,8
627,8
628,3
629,6
630,8
631,8
632,8
633,8
634,8
635,8
636,9
637,8
638,3
639,8
640,3
641,0
642,8
643,9
644,8
645,9
646,8
647,8
648,8
649,3
650,8
651,9
652,8
653,8
654,2
655,8
656,2
657,4
658,3
659,3
660,3
661,2
662,3
663,4
664,8
665,8
666,8
667,8
668,3
669,8
670,8
671,3
672,9
673,4
674,3
675,8
676,8
677,3
678,8
679,8
680,8
681,8
682,8
683,8
684,8
685,3
686,3
687,8
688,8
689,9
690,9
691,8
692,8
693,0
694,8
695,8
696,8
697,3
698,9
699,8
700,8
701,4
702,0
703,8
704,0
705,8
706,8
707,8
708,8
709,8
710,8
711,8
712,8
713,8
714,8
715,8
716,8
717,2
718,3
719,3
720,8
721,9
722,3
723,8
724,2
725,8
726,0
727,8
728,8
729,8
730,8
731,9
732,8
733,3
734,8
735,3
736,3
737,8
738,8
739,8
740,8
741,4
742,8
743,3
744,8
745,3
746,9
747,8
748,8
749,8
750,8
751,8
752,9
753,4
754,8
755,8
756,8
757,9
758,3
759,8
760,8
761,8
762,8
763,4
764,8
765,9
766,0
767,0
768,8
769,8
770,8
771,2
772,5
773,0
774,8
775,8
776,3
777,9
778,8
779,3
780,8
781,8
782,8
783,8
784,8
785,3
786,5
787,3
788,8
789,8
790,8
791,5
792,8
793,8
794,0
795,4
796,3
797,8
798,8
799,9
800,9
801,8
802,8
803,3
804,3
805,8
806,4
807,8
808,8
809,8
810,8
811,8
812,8
813,3
814,3
815,4
816,4
817,0
818,9
819,9
820,8
821,3
822,8
823,8
824,0
825,8
826,9
827,0
828,9
829,4
830,8
831,8
832,8
833,8
834,9
835,3
836,9
837,8
838,8
839,8
840,8
841,8
842,9
843,0
844,8
845,8
846,8
847,9
848,2
849,8
850,8
851,8
852,9
853,8
854,8
855,2
856,8
857,8
858,3
859,8
860,8
861,0
862,9
863,8
864,8
865,8
866,3
867,8
868,8
869,3
870,3
871,8
872,8
873,8
874,3
875,3
876,8
877,8
878,8
879,0
880,8
881,8
882,8
883,8
884,8
885,2
886,8
887,8
888,8
889,8
890,9
891,8
892,8
893,4
894,8
895,4
896,2
897,9
898,8
899,8
900,8
901,8
902,3
903,8
904,8
905,9
906,2
907,8
908,3
909,2
910,8
911,8
912,3
913,8
914,8
915,8
916,8
917,4
918,5
919,8
920,8
921,3
922,3
923,8
924,9
925,8
926,2
927,9
928,8
929,6
930,3
931,3
932,8
933,8
934,4
935,8
936,3
937,8
938,3
939,9
940,5
941,6
942,3
943,8
944,8
945,0
946,9
947,3
948,8
949,9
950,8
951,6
952,9
953,8
954,2
955,3
956,2
957,8
958,3
959,0
960,2
961,8
962,8
963,4
964,0
965,9
966,3
967,8
968,8
969,8
970,8
971,3
972,8
973,8
974,8
975,8
976,5
977,8
978,0
979,3
980,4
981,3
982,8
983,3
984,9
985,3
986,3
987,0
988,5
989,3
990,2
991,8
992,9
993,8
994,8
995,8
996,3
997,8
998,2
999,2
1000,9
1001,0
1002,9
1003,0
1004,3
1005,8
1006,3
1007,4
1008,8
1009,3
1010,8
1011,2
1012,8
1013,3
1014,8
1015,3
1016,3
1017,2
1018,3
1019,8
1020,8
1021,8
1022,8
1023,8
1024,8
1025,8
1026,8
1027,8
1028,8
1029,8
1030,8
1031,8
1032,8
1033,8
1034,3
1035,4
1036,8
1037,8
1038,8
1039,2
1040,0
1041,8
1042,8
1043,8
1044,9
1045,2
1046,2
1047,8
1048,3
1049,8
1050,8
1051,8
1052,8
1053,3
1054,3
1055,8
1056,8
1057,8
1058,3
1059,6
1060,3
1061,0
1062,0
1063,4
1064,0
1065,9
1066,8
1067,9
1068,8
1069,8
1070,9
1071,8
1072,8
1073,9
1074,4
1075,3
1076,2
1077,8
1078,8
1079,2
1080,8
1081,3
1082,0
1083,2
1084,8
1085,8
1086,9
1087,8
1088,8
1089,3
1090,8
1091,3
1092,8
1093,0
1094,8
1095,3
1096,6
1097,8
1098,3
1099,3
1100,3
1101,8
1102,8
1103,9
1104,8
1105,8
1106,3
1107,2
1108,5
1109,4
1110,4
1111,8
1112,3
1113,4
1114,8
1115,0
1116,8
1117,2
1118,8
1119,8
1120,8
1121,8
1122,8
1123,8
1124,8
1125,8
1126,3
1127,8
1128,6
1129,8
1130,2
1131,0
1132,8
1133,8
1134,0
1135,3
1136,8
1137,8
1138,3
1139,8
1140,8
1141,8
1142,8
1143,8
1144,8
1145,2
1146,8
1147,9
1148,8
1149,5
1150,3
1151,8
1152,3
1153,8
1154,4
1155,3
1156,8
1157,8
1158,8
1159,8
1160,8
1161,8
1162,8
1163,9
1164,0
1165,8
1166,4
1167,8
1168,3
1169,8
1170,8
1171,8
1172,2
1173,9
1174,8
1175,8
1176,8
1177,3
1178,8
1179,8
1180,5
1181,3
1182,8
1183,8
1184,9
1185,0
1186,3
1187,0
1188,3
1189,3
1190,9
1191,8
1192,3
1193,3
1194,8
1195,8
1196,8
1197,3
1198,2
1199,8
1200,4
1201,8
1202,8
1203,3
1204,8
1205,8
1206,8
1207,8
1208,6
1209,8
1210,8
1211,4
1212,8
1213,8
1214,9
1215,8
1216,9
1217,3
1218,8
